اسم السيارة,موديل السيارة,سعر السيارة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,حالة الإعلان,تاريخ نشر الإعلان,تاريخ إنتهاء الإعلان,Number_of_Additions,فتحة السقف,الدفع
اوبل  ريكورد,موديل سنة 1986,17000 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثالثه,مُكيّفمسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2019-10-23,2019-12-07,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سوبارو نملة,موديل سنة 1983,10000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,10,مسجل CD,إعلان منتهي,2019-10-23,2019-12-02,1.0,0.0,
سكودا 2014,موديل سنة 2014,80000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,175000,4+1,إمكانية التقسيط,للبيع فقط,يد اولا,مُكيّفمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-24,2019-11-23,5.0,0.0,
ميتسوبيشي اوت لاندر,موديل سنة 2018,158000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,19000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقففرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-09,2019-12-09,6.0,1.0,
هونداي اكسنت,موديل سنة 2017,70000 شيكل,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٤٢٠٠٠,4+1,إمكانية التقسيط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-24,2019-11-13,7.0,0.0,
سكودا اوكتافيا,موديل سنة 2010,75000 شيكل,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-10-27,2019-11-26,6.0,0.0,
فيات 127,موديل سنة 1979,3500 شيكل,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,0000,4+1,نقدا فقط,للبيع فقط,يد اولى,مسجل CDفرش جلد,إعلان منتهي,2019-10-26,2019-11-25,2.0,0.0,
بي ام دبليو 528,موديل سنة 2013,145000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,98000,4+1,نقدا فقط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-04,2019-12-04,7.0,1.0,
فولكسفاجن جولف,موديل سنة 2014,85000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,46000,4+1,إمكانية التقسيط,للبيع فقط,يد أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-27,2019-11-26,6.0,0.0,
هونداي i30,موديل سنة 2013,70000 شيكل,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,51000,4+1,إمكانية التقسيط,للبيع أو التبديل,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-27,2019-11-26,7.0,1.0,
سكودا اوكتافيا,موديل سنة 2016,88500 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٦٥٠٠٠,4+1,نقدا فقط,للبيع فقط,يد ثاني,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-10-27,2019-11-26,6.0,0.0,
فورد فيستا,موديل سنة 2013,41000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,80000,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-29,2019-11-28,7.0,0.0,
كيا برايد,موديل سنة 2009,38000 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٣٠٠٠٠,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-04,2019-12-04,7.0,0.0,
سكودا اوكتافيا,موديل سنة 2016,89000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,180000,4+1,نقدا فقط,للبيع فقط,يد صفر,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-29,2019-11-28,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,موديل سنة 2005,49999 شيكل,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,628939,4+1,إمكانية التقسيط,للبيع فقط,يد ثالثه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-10-29,2019-11-28,6.0,1.0,
هونداي توسان,موديل سنة 2006,38000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,3001111,4+1,نقدا فقط,للبيع فقط,4,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوم,إعلان منتهي,2019-10-30,2019-11-29,5.0,1.0,
هونداي سانتافيه,موديل سنة 2006,69000 شيكل,أسود,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,145000,6+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-30,2019-11-29,7.0,1.0,
فولكسفاجن جولف بلس,موديل سنة 2007,345000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,227000,4+1,إمكانية التقسيط,للبيع أو التبديل,ايد رابعه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-30,2019-12-14,7.0,0.0,
فولكسفاجن كبينة,موديل سنة 1988,32000 شيكل,أصفر,ديزل,تجاري,فلسطينية,عادي,يدوي,1900,0000000,6+1,نقدا فقط,للبيع فقط,رابعه,مسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2019-10-30,2019-11-29,3.0,0.0,
مرسيدس E250,موديل سنة 2017,320000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-10-31,2019-11-30,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,موديل سنة 2010,60000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,300000,6+1,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-10-31,2019-11-30,5.0,0.0,
فورد ترانزيت,موديل سنة 1999,33000 شيكل,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,000000,7+1,إمكانية التقسيط,للبيع فقط,4,,إعلان منتهي,2019-10-31,2019-11-30,0.0,0.0,
شفروليه اوبترا,موديل سنة 2008,27000 شيكل,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2019-10-31,2019-11-30,5.0,0.0,
هونداي توسان,موديل سنة 2016,131000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,80,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-02,2019-12-02,7.0,1.0,
فورد ترانزيت,موديل سنة 1987,9000 شيكل,أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,2500,,,نقدا فقط,للبيع فقط,,إغلاق مركزيجهاز إنذارمسجل CD,إعلان منتهي,2019-11-02,2019-12-02,3.0,0.0,
بيجو 306,موديل سنة 1999,17000 شيكل,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,٣٣٣٣,4+1,نقدا فقط,للبيع فقط,اول,مسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2019-11-02,2019-12-14,3.0,0.0,
كيا سورينتو,موديل سنة 2016,165000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,76000,6+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-06,2019-11-21,7.0,1.0,
فولكسفاجن جيتا,موديل سنة 1987,10000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,ثالث,جنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-02,2019-12-02,2.0,0.0,
هونداي سانتافيه,موديل سنة 2015,110000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,124000,6+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-03,2019-11-18,7.0,1.0,
كيا سبورتاج,موديل سنة 2016,130000 شيكل,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,77000,4+1,نقدا فقط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-12-10,2020-01-24,7.0,1.0,
هونداي اكسنت,موديل سنة 2013,54000 شيكل,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٧٦٠٠٠,,نقدا فقط,للبيع أو التبديل,٢,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-03,2019-12-03,7.0,0.0,
كيا برايد,موديل سنة 2013,65000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,٧٩,4+1,إمكانية التقسيط,للبيع فقط,٢,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-06,2019-12-06,7.0,1.0,
بي ام دبليو X5,موديل سنة 2010,220000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,30000,6+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-03,2019-12-18,7.0,1.0,
فولكسفاجن بولو,موديل سنة 2014,54000 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,140000,4+1,نقدا فقط,للبيع فقط,اولى,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-03,2019-12-03,5.0,0.0,
ستروين بيرلينجو,موديل سنة 2007,39000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,٢,مُكيّفإغلاق مركزيمسجل CD,إعلان منتهي,2019-11-03,2019-12-03,3.0,0.0,
كيا ريو,موديل سنة 2016,69000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٩ الاف كيلو,4+1,نقدا فقط,للبيع أو التبديل,٢,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-04,2019-12-04,7.0,1.0,
فولكسفاجن باسات,موديل سنة 2015,122000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٨٠٠٠٠,4+1,نقدا فقط,للبيع فقط,١,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-04,2019-12-04,7.0,0.0,
فورد فيستا,موديل سنة 2012,38000 شيكل,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,116000,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2019-11-04,2019-11-19,4.0,0.0,
بي ام دبليو 316,موديل سنة 2016,110000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,"70,000",4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2020-11-16,2021-01-15,7.0,0.0,
هونداي فيرنا,موديل سنة 2006,35000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,233,,نقدا فقط,للبيع فقط,5,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-05,2019-12-05,7.0,0.0,
كيا برايد,موديل سنة 2015,56500 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,93,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-05,2019-11-20,4.0,0.0,
اوبل اسكونا,موديل سنة 1986,16000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,100000,4+1,إمكانية التقسيط,للبيع أو التبديل,3,إغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-05,2019-11-25,5.0,0.0,
فولكسفاجن جيتا,موديل سنة 2007,50000 شيكل,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,إمكانية التقسيط,للبيع أو التبديل,4,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-11,2019-11-28,7.0,0.0,
فولكسفاجن كادي,موديل سنة 2014,77000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,200,6+1,إمكانية التقسيط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-06,2019-12-06,7.0,0.0,
مرسيدس 220,موديل سنة 1997,35000 شيكل,سكني,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2500,,4+1,إمكانية التقسيط,للبيع أو التبديل,5,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-06,2019-12-06,7.0,1.0,
شفروليه افيو,موديل سنة 2006,23000 شيكل,فضي,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,165000,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2019-11-06,2019-12-06,4.0,0.0,
هونداي i30,موديل سنة 2010,57000 شيكل,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,126000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-07,2019-12-07,7.0,0.0,
هونداي i25,موديل سنة 2016,70000 شيكل,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,44000,4+1,نقدا فقط,للبيع أو التبديل,استيراد كوريا,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2019-11-07,2019-12-07,5.0,0.0,
كيا سول,موديل سنة 2017,80000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-09,2019-12-09,6.0,1.0,
فولكسفاجن CC,موديل سنة 2011,77000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,75000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-09,2019-12-09,7.0,1.0,
هونداي فيرنا,موديل سنة 2002,10000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CD,إعلان منتهي,2019-11-10,2019-12-10,3.0,0.0,
اوبل استرا,موديل سنة 2009,55000 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,21000,3+1,نقدا فقط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-09,2019-12-09,6.0,1.0,
سكودا اوكتافيا,موديل سنة 2014,95000 شيكل,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,170000,4+1,إمكانية التقسيط,للبيع فقط,,,إعلان منتهي,2019-11-09,2019-12-09,0.0,0.0,
فولكسفاجن جولف,موديل سنة 1986,25000 شيكل,بيج,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,٦,إغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلد,إعلان منتهي,2019-11-09,2019-12-09,5.0,1.0,
فولكسفاجن كادي,موديل سنة 2014,85000 شيكل,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,200000,6+1,نقدا فقط,للبيع فقط,,,إعلان منتهي,2019-11-09,2019-12-09,0.0,0.0,
شفروليه كروز,موديل سنة 2011,47000 شيكل,أزرق سماوي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,١٤٠٠٠٠,4+1,إمكانية التقسيط,للبيع فقط,٣,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-23,2019-12-23,6.0,0.0,
سكودا اوكتافيا,موديل سنة 2004,32000 شيكل,أزرق,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,٤,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-10,2019-12-10,6.0,0.0,
هونداي جيتس,موديل سنة 2007,39000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,132000,4+1,نقدا فقط,للبيع فقط,7,إغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-10,2019-12-10,5.0,1.0,
فولكسفاجن GTI,موديل سنة 2016,120000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٧٠٠٠٠,4+1,نقدا فقط,للبيع فقط,ايد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-10,2019-12-10,7.0,1.0,
سكودا فابيا,موديل سنة 2009,45000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-10,2019-12-10,4.0,0.0,
كيا سول,موديل سنة 2014,70000 شيكل,بيج,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٥٨٠٠٠,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-11,2019-12-26,7.0,0.0,
فولكسفاجن كرافيل,موديل سنة 2009,60000 شيكل,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,500000,7+1,نقدا فقط,للبيع أو التبديل,يد ثانيه,إغلاق مركزيجهاز إنذارمسجل CDفرش جلد,إعلان منتهي,2019-11-11,2019-12-26,4.0,0.0,
سكودا سوبيرب,موديل سنة 2016,155000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,95000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-11,2019-12-11,5.0,1.0,
فولكسفاجن جولف,موديل سنة 2007,55000 شيكل,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-11,2019-11-26,7.0,0.0,
بيجو 301,موديل سنة 2015,30000 شيكل,أصفر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-12,2019-12-12,5.0,0.0,
سكودا اوكتافيا,موديل سنة 2014,85000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-12,2019-12-12,7.0,0.0,
بي ام دبليو 318,موديل سنة 2004,49900 شيكل,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,140000,4+1,نقدا فقط,للبيع فقط,ايد اولى,مُكيّفإغلاق مركزيفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-12,2019-12-12,4.0,1.0,
مرسيدس 412,موديل سنة 1996,60000 شيكل,بيج,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,,,نقدا فقط,للبيع فقط,,مسجل CD,إعلان منتهي,2019-11-13,2019-12-13,1.0,0.0,
اوبل كاديت,موديل سنة 1983,14000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,4+1,نقدا فقط,للبيع فقط,,مسجل CDجنطات مغنيسيوم,إعلان منتهي,2019-11-13,2019-12-13,2.0,0.0,
اوبل كاديت,موديل سنة 1983,6500 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,,نقدا فقط,للبيع أو التبديل,,,إعلان منتهي,2019-11-13,2019-12-13,0.0,0.0,
تويوتا لاند كروزر,موديل سنة 2013,360000 شيكل,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,11000,6+1,نقدا فقط,للبيع فقط,اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-14,2019-12-14,7.0,1.0,
سانغ يونغ اكتيون,موديل سنة 2009,45000 شيكل,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,٢١٣٤٦٦,4+1,نقدا فقط,للبيع فقط,٢,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-14,2019-12-14,7.0,0.0,
فولكسفاجن باسات,موديل سنة 1999,25000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,1233,4+1,إمكانية التقسيط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-14,2019-12-23,5.0,0.0,
بي ام دبليو 523,موديل سنة 1999,50000 شيكل,ذهبي,بنزين,حكومي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,120000,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2019-11-14,2019-12-14,4.0,1.0,
بي ام دبليو 525,موديل سنة 2003,55000 شيكل,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,146000,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-14,2019-12-14,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,موديل سنة 2014,75000 شيكل,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع أو التبديل,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-16,2019-12-16,7.0,0.0,
كيا سورينتو,موديل سنة 2007,45000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,0000,6+1,نقدا فقط,للبيع فقط,5,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-16,2019-12-11,7.0,1.0,
كيا سبورتاج,موديل سنة 2012,85000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,84000,4+1,نقدا فقط,للبيع فقط,يد أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2019-11-16,2019-12-16,7.0,1.0,
